Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B),Beta
HAL,Fortress,35.03,23.35,Energy,3.51,10.93,14.9,15.99,2.04,6.03,29.48,0.75
HRL,Fortress,23.95,27.53,Consumer Defensive,3.5,6.17,7.22,8.74,2.466,9.5,13.18,0.33
KMT,Fortress,40.26,28.15,Industrials,3.44,7.39,10.23,9.26,2.552,6.29,3.07,1.5
LBRT,Fortress,24.46,27.48,Energy,3.44,8.3,2.78,9.76,1.219,5.84,3.96,0.51
HAS,Fortress,105.94,0.0,Consumer Cyclical,3.39,13.53,20.57,10.58,1.381,3.9,14.87,
ALC,Fortress,79.39,37.8,Healthcare,3.31,5.16,12.85,9.99,2.118,7.54,39.15,0.69
VSNT,Fortress,28.4,4.85,Communication Services,3.28,14.53,9.8,27.36,2.18,8.63,4.1,
BIIB,Fortress,191.2,21.75,Healthcare,3.25,6.99,19.64,23.96,2.679,6.82,28.06,0.16
HAFN,Fortress,6.63,10.87,Industrials,3.25,27.25,16.77,24.63,1.476,15.86,3.32,-0.27
DE,Fortress,612.69,33.1,Industrials,3.23,12.82,12.38,20.82,2.262,2.97,166.08,1.0
HSIC,Fortress,81.69,25.77,Healthcare,3.21,8.69,6.14,6.32,1.396,4.92,9.91,0.89
BIRK,Fortress,40.0,17.94,Consumer Cyclical,3.19,12.15,22.04,24.04,2.811,7.22,7.36,1.19
FOXA,Fortress,61.11,14.65,Communication Services,3.19,17.07,11.35,18.62,2.784,8.6,26.0,0.51
FOX,Fortress,55.45,13.3,Communication Services,3.19,17.07,11.35,18.62,2.784,8.6,25.89,0.51
SLB,Fortress,51.56,21.94,Energy,3.19,12.08,15.99,16.01,1.326,8.69,77.1,0.7
PDD,Fortress,104.57,10.53,Consumer Cyclical,3.17,41.91,23.11,20.47,2.355,100.0,148.45,-0.01
VAL,Fortress,88.42,15.82,Energy,3.16,12.16,21.14,6.86,1.871,5.37,6.3,1.18
ARMN,Fortress,20.07,74.33,Basic Materials,3.13,5.73,40.92,29.55,2.415,3.9,4.11,1.68
TEX,Fortress,69.08,29.27,Industrials,3.13,10.67,10.45,10.14,2.151,5.58,7.84,1.66
FND,Fortress,68.95,34.48,Consumer Cyclical,3.11,6.73,6.11,9.03,1.27,92.38,7.43,1.74
ASO,Fortress,59.46,10.93,Consumer Cyclical,3.1,14.6,7.26,11.68,1.706,15.6,3.96,1.25
IMAX,Fortress,36.49,51.39,Communication Services,3.1,7.38,27.25,7.82,3.942,5.66,1.96,0.37
J,Fortress,142.36,37.56,Industrials,3.1,8.72,7.43,6.24,1.33,4.73,16.81,0.77
TGNA,Fortress,20.79,9.95,Communication Services,3.1,13.73,15.89,25.73,2.218,5.57,3.35,0.14
BWA,Fortress,66.1,93.1,Consumer Cyclical,3.08,6.02,8.41,9.01,2.051,7.42,14.3,1.06
CF,Fortress,96.93,11.72,Basic Materials,3.08,15.03,33.94,36.5,2.273,13.68,15.7,0.69
EGO,Fortress,46.3,25.44,Basic Materials,3.06,8.4,39.69,19.59,2.794,22.64,9.35,1.29
MHK,Fortress,134.9,20.07,Consumer Cyclical,3.06,6.87,6.66,7.93,2.246,14.32,8.38,1.21
MAT,Fortress,15.8,11.97,Consumer Cyclical,3.01,14.18,22.18,12.26,1.598,6.24,5.09,0.69
MDT,Fortress,101.08,27.39,Healthcare,3.01,8.07,20.3,18.47,2.415,8.72,129.65,0.72
