Ticker,Tier,Price,Sector,Z-Score,ROIC %,Op Margin %,Curr Ratio,Int Cov,Mkt Cap (B),Analyst_Rating,Target_Price,Upside_%,Num_Analysts
BBWI,Fortress,20.44,Consumer Cyclical,2.5,36.8,10.1,1.211,4.29,4.21,2.25,24.34615,19.14,13
NVT,Fortress,103.165,Industrials,3.91,9.02,16.03,1.574,5.05,16.65,1.28571,122.69538,18.86,13
VRT,Fortress,165.515,Industrials,7.12,15.17,20.49,1.831,6.09,63.28,1.52,196.61458,18.74,24
SOLS,Fortress,49.275,Basic Materials,4.01,19.1,17.65,1.532,5.03,7.82,2.16667,58.5,18.69,6
NXPI,Fortress,220.41,Technology,3.34,16.43,28.24,2.375,8.79,55.57,1.53125,260.66876,18.24,32
WYNN,Fortress,122.19,Consumer Cyclical,1.38,11.64,16.93,1.757,1.93,12.7,1.26316,144.5,18.18,18
BURL,Fortress,286.47,Consumer Cyclical,3.23,11.46,5.75,1.208,10.71,18.03,1.55556,337.7143,17.68,14
DKS,Fortress,202.362,Consumer Cyclical,4.4,21.31,5.56,1.572,29.67,18.21,2.07407,237.5,17.49,22
RBA,Fortress,105.615,Industrials,2.69,7.48,14.74,1.233,3.35,19.66,1.6,123.8,17.21,10
BKR,Fortress,45.355,Energy,2.21,13.65,13.52,1.409,17.49,44.76,1.82609,53.14286,17.11,21
TEL,Fortress,232.035,Technology,5.35,16.44,19.77,1.556,42.61,68.35,1.66667,271.52942,17.09,17
PHM,Fortress,118.64,Consumer Cyclical,6.22,25.25,17.34,6.449,8364.0,23.41,2.2,138.41667,16.63,12
SBLK,Fortress,19.695,Industrials,1.34,10.78,14.1,1.725,4.28,2.25,1.75,22.975,16.57,4
GMAB,Fortress,32.545,Healthcare,12.03,22.92,44.91,6.034,77.37,20.18,1.5,37.81429,16.28,7
CDE,Fortress,18.31,Basic Materials,4.83,8.89,33.28,1.999,3.58,11.76,1.85714,21.28571,16.09,7
CMG,Fortress,37.165,Consumer Cyclical,7.64,24.7,16.13,1.542,100.0,49.83,1.69444,43.09091,15.97,33
J,Fortress,135.23,Industrials,3.03,8.72,10.52,1.301,4.73,16.06,2.0,156.53333,15.69,15
WB,Fortress,10.16,Communication Services,2.01,9.5,26.53,3.346,4.99,2.51,2.2,11.72944,15.56,18
MDT,Fortress,96.035,Healthcare,2.92,8.07,20.3,2.415,8.72,123.18,2.09677,110.968,15.45,25
PNR,Fortress,105.745,Industrials,5.26,14.55,23.98,1.462,9.11,17.33,1.85,122.0,15.32,19
GFI,Fortress,43.59,Basic Materials,6.63,24.17,46.44,1.886,40.44,39.23,2.25,50.28125,15.31,8
IMAX,Fortress,37.465,Communication Services,3.18,7.38,27.25,3.942,5.66,2.02,1.36364,43.18182,15.31,11
TS,Fortress,38.5,Energy,5.9,14.69,20.03,4.079,42.76,19.77,2.0,44.41538,15.3,13
EMN,Fortress,63.66,Basic Materials,2.4,10.35,9.67,1.756,5.99,7.31,1.88235,73.35294,15.08,17
MAS,Fortress,64.665,Industrials,4.07,36.46,15.81,1.878,12.73,13.54,2.47826,74.26316,14.96,19
ENTG,Fortress,85.89,Technology,2.63,6.83,15.4,3.444,2.5,13.02,1.91667,98.75,14.91,12
PGNY,Fortress,25.615,Healthcare,10.32,15.38,6.87,2.955,100.0,2.21,1.81818,29.4,14.75,10
SVM,Fortress,8.285,Basic Materials,4.9,10.35,42.7,4.588,22.11,1.83,1.33333,9.5,14.73,2
PFE,Fortress,24.99,Healthcare,1.96,6.52,35.28,1.282,3.6,142.09,2.42308,28.62292,14.45,24
FERG,Fortress,226.94,Industrials,5.33,22.33,9.5,1.878,13.75,45.57,1.84,259.77274,14.4,22
UPWK,Fortress,20.285,Communication Services,3.9,6.91,15.69,1.437,,2.69,1.90909,23.2,14.29,10
WPM,Fortress,117.13,Basic Materials,196.14,8.72,66.54,8.089,2269.82,53.25,1.4375,134.022,14.19,10
PPG,Fortress,104.38,Basic Materials,3.98,14.52,14.16,1.465,8.68,23.56,2.16667,119.0,14.09,20
NXT,Fortress,90.115,Technology,6.2,30.62,20.32,2.178,50.48,13.68,1.77778,102.68,13.82,25
SHEL,Fortress,73.035,Energy,2.31,11.89,11.35,1.352,7.16,208.07,2.16667,83.04375,13.58,16
DHI,Fortress,145.88,Consumer Cyclical,6.07,13.2,12.47,6.421,100.0,42.61,2.35,165.66667,13.49,15
KO,Fortress,70.095,Consumer Defensive,4.46,19.58,32.37,1.211,8.9,301.67,1.625,79.6087,13.48,23
ULS,Fortress,80.9198,Industrials,7.0,22.82,19.8,1.328,8.55,16.27,2.0,91.71,13.38,10
